words,occurrences,frequency
mère,2168,0.07871179863721121
habitant,2159,0.07838504301556228
source,2155,0.07823981829482941
acte,2155,0.07823981829482941
retour,2150,0.07805828739391334
direction,2150,0.07805828739391334
cancer,2140,0.07769522559208118
environnement,2136,0.07755000087134832
difficulté,2133,0.07744108233079867
principe,2129,0.07729585761006581
voie,2117,0.07686018344786723
modèle,2106,0.07646081546585186
vaccin,2096,0.0760977536640197
médicament,2096,0.0760977536640197
œuvre,2093,0.07598883512347006
conférence,2093,0.07598883512347006
virus,2076,0.0753716300603554
entrée,2074,0.07529901769998897
âge,2069,0.07511748679907289
corps,2060,0.07479073117742395
filière,2046,0.07428244465485893
cœur,2040,0.07406460757375964
hausse,2040,0.07406460757375964
discours,2037,0.07395568903321
mme,2035,0.07388307667284356
dispositif,2029,0.07366523959174426
terrain,2024,0.07348370869082818
capacité,2023,0.07344740251064497
défense,2017,0.07322956542954567
changement,2013,0.07308434070881281
expérience,2011,0.07301172834844638
accord,2011,0.07301172834844638
gaz,1987,0.07214038002404921
relation,1986,0.072104073843866
enjeu,1980,0.0718862367627667
institution,1966,0.07137795024020169
garde,1964,0.07130533787983526
dimanche,1962,0.07123272551946883
laboratoire,1954,0.0709422760780031
soir,1948,0.07072443899690381
type,1945,0.07061552045635416
solution,1939,0.07039768337525487
stratégie,1938,0.07036137719507166
consommation,1928,0.0699983153932395
responsabilité,1927,0.06996200921305629
commerce,1919,0.06967155977159056
acteur,1917,0.06959894741122413
communauté,1916,0.06956264123104092
dizaine,1891,0.06865498672646053
protection,1889,0.06858237436609409
août,1885,0.06843714964536123
qualité,1868,0.06781994458224656
élément,1857,0.0674205766002312
presse,1856,0.06738427042004798
ingénieur,1856,0.06738427042004798
génération,1847,0.06705751479839904
pandémie,1821,0.06611355411363544
master,1815,0.06589571703253615
conséquence,1814,0.06585941085235293
vidéo,1812,0.0657867984919865
journée,1804,0.06549634905052078
base,1802,0.06542373669015435
règle,1787,0.06487914398740612
kilomètre,1783,0.06473391926667325
syndicat,1772,0.06433455128465788
gestion,1751,0.06357212150081036
occasion,1751,0.06357212150081036
voix,1746,0.06339059059989427
création,1736,0.06302752879806212
nuit,1733,0.06291861025751247
présidentielle,1729,0.06277338553677961
propos,1727,0.06270077317641318
assemblée,1722,0.0625192422754971
connaissance,1720,0.062446629915130676
samedi,1720,0.062446629915130676
titre,1716,0.062301405194397814
matin,1709,0.0620472619331153
jeu,1704,0.06186573103219922
quartier,1702,0.06179311867183279
administration,1696,0.0615752815907335
évolution,1689,0.06132113832945099
poste,1682,0.061066995068168484
candidature,1677,0.06088546416725241
date,1675,0.060812851806885976
art,1669,0.06059501472578668
mètre,1668,0.06055870854560347
fond,1663,0.06037717764468739
mode,1656,0.06012303438340488
rue,1655,0.06008672820322167
position,1650,0.05990519730230559
religion,1650,0.05990519730230559
parcours,1647,0.059796278761755944
financement,1645,0.059723666401389514
moyenne,1640,0.05954213550047343
médecine,1639,0.059505829320290214
orientation,1636,0.05939691077974057
militant,1636,0.05939691077974057
chance,1634,0.05932429841937414
plupart,1627,0.05907015515809163
arme,1623,0.05892493043735877
logement,1620,0.05881601189680912
sortie,1617,0.058707093356259475
centaine,1617,0.058707093356259475
salle,1610,0.05845295009497697
ami,1608,0.058380337734610536
parquet,1605,0.05827141919406089
vote,1600,0.05808988829314481
coût,1596,0.05794466357241195
espèce,1596,0.05794466357241195
arrêt,1585,0.05754529559039658
série,1577,0.05725484614893086
porte,1572,0.057073315248014775
opération,1569,0.05696439670746513
usage,1563,0.056746559626365836
public,1562,0.05671025344618262
parole,1560,0.05663764108581619
peur,1555,0.05645611018490011
frère,1541,0.0559478236623351
domaine,1539,0.055875211301968666
présence,1532,0.05562106804068616
entretien,1528,0.0554758433199533
industrie,1526,0.055403230959586866
secrétaire,1515,0.0550038629775715
contexte,1514,0.05496755679738828
outil,1509,0.054786025896472204
avenir,1504,0.05460449499555612
spécialiste,1500,0.05445927027482326
preuve,1497,0.05435035173427361
rassemblement,1494,0.054241433193723966
esprit,1493,0.05420512701354075
test,1493,0.05420512701354075
passage,1492,0.054168820833357535
islam,1492,0.054168820833357535
baisse,1488,0.054023596112624674
collègue,1486,0.05395098375225824
licence,1473,0.05347900340987644
marine,1469,0.05333377868914358
attaque,1465,0.05318855396841072
confinement,1465,0.05318855396841072
impact,1465,0.05318855396841072
départ,1461,0.05304332924767786
oeil,1460,0.05300702306749464
bout,1460,0.05300702306749464
menace,1459,0.05297071688731143
volonté,1453,0.052752879806212134
minute,1449,0.05260765508547927
engagement,1448,0.05257134890529606
travers,1447,0.05253504272511284
réunion,1446,0.052498736544929626
marche,1445,0.05246243036474641
académie,1443,0.05238981800437998
rentrée,1441,0.05231720564401355
expert,1435,0.05209936856291426
pression,1434,0.052063062382731035
expression,1434,0.052063062382731035
message,1432,0.051990450022364604
revanche,1428,0.05184522530163174
moitié,1427,0.05180891912144853
lettre,1425,0.051736306761082096
transition,1423,0.051663694400715665
animal,1423,0.051663694400715665
fonds,1414,0.051336938779066726
événement,1411,0.05122802023851708
personnel,1410,0.051191714058333865
département,1404,0.05097387697723457
investissement,1402,0.05090126461686814
phénomène,1399,0.050792346076318495
confiance,1394,0.05061081517540242
millier,1388,0.050392978094303126
reste,1385,0.05028405955375348
recours,1379,0.05006622247265419
émission,1378,0.05002991629247097
absence,1368,0.04966685449063882
citoyen,1367,0.0496305483104556
instruction,1367,0.0496305483104556
ressource,1365,0.04955793595008917
conscience,1365,0.04955793595008917
manifestation,1365,0.04955793595008917
climat,1360,0.04937640504917309
contrat,1358,0.04930379268880666
plainte,1352,0.049085955607707364
régime,1346,0.04886811852660807
conseiller,1346,0.04886811852660807
primaire,1346,0.04886811852660807
annonce,1342,0.04872289380587521
possibilité,1340,0.04865028144550878
cellule,1339,0.048613975265325564
voiture,1336,0.04850505672477592
communiqué,1333,0.04839613818422627
intervention,1331,0.04832352582385984
manque,1324,0.04806938256257733
structure,1322,0.0479967702022109
processus,1318,0.04785154548147804
méthode,1314,0.04770632076074518
individu,1311,0.04759740222019553
air,1307,0.04745217749946267
client,1306,0.047415871319279455
sol,1304,0.047343258958913025
sentiment,1303,0.04730695277872981
regard,1302,0.047270646598546594
eglise,1299,0.04716172805799695
représentant,1294,0.046980197157080864
média,1291,0.04687127861653122
publication,1289,0.046798666256164786
diplômé,1287,0.046726053895798356
diplôme,1287,0.046726053895798356
collège,1287,0.046726053895798356
compétence,1277,0.0463629920939662
banque,1273,0.04621776737323334
page,1272,0.046181461193050125
lycéen,1272,0.046181461193050125
exercice,1272,0.046181461193050125
augmentation,1271,0.04614515501286691
sorte,1271,0.04614515501286691
vente,1267,0.04599993029213405
parcoursup,1266,0.04596362411195083
document,1265,0.04592731793176762
professionnel,1254,0.04552794994975225
scène,1254,0.04552794994975225
reprise,1252,0.045455337589385816
usine,1251,0.0454190314092026
vague,1244,0.04516488814792009
ouverture,1243,0.04512858196773688
agent,1239,0.044983357247004016
avis,1236,0.04487443870645437
mer,1236,0.04487443870645437
technologie,1233,0.044765520165904724
fils,1232,0.04472921398572151
planète,1231,0.04469290780553829
frontière,1229,0.04462029544517186
