words,occurrences,frequency
manière,2965,0.0394999164040555
mouvement,2957,0.039393339901110325
choix,2951,0.039313407523901445
cour,2951,0.039313407523901445
lier,2930,0.039033644203670365
énergie,2928,0.03900700007793407
mercredi,2926,0.03898035595219777
assurer,2926,0.03898035595219777
contrôle,2913,0.03880716913491186
mai,2907,0.03872723675770298
mal,2905,0.038700592631966686
maire,2896,0.038580694066153366
éducation,2894,0.03855404994041707
changer,2882,0.03839418518599931
pratique,2878,0.038340896934526726
matière,2873,0.03827428662018599
expliquer,2872,0.03826096455731784
terre,2854,0.0380211674256912
siècle,2846,0.03791459092274602
considérer,2833,0.03774140410546011
etatsunis,2833,0.03774140410546011
action,2806,0.037381708408020145
tant,2802,0.03732842015654756
arriver,2801,0.037315098093679416
atteindre,2791,0.037181877464997945
nicolas,2783,0.03707530096205277
coup,2773,0.0369420803333713
principal,2760,0.036768893516085394
lutte,2760,0.036768893516085394
choisir,2756,0.0367156052646128
auteur,2753,0.03667563907600836
commission,2752,0.03666231701314022
peine,2749,0.03662235082453578
procès,2745,0.03656906257306319
commun,2745,0.03656906257306319
note,2737,0.03646248607011801
organiser,2726,0.036315943378568395
judiciaire,2721,0.036249333064227666
or,2718,0.03620936687562322
tard,2717,0.036196044812755075
concerner,2712,0.03612943449841434
plutôt,2705,0.036036180058337315
revenir,2704,0.036022857995469164
juger,2701,0.035982891806864724
porte,2699,0.035956247681128435
charge,2699,0.035956247681128435
deuxième,2687,0.03579638292671067
interroger,2685,0.03576973880097437
perdre,2678,0.03567648436089735
défendre,2673,0.03560987404655661
analyse,2672,0.03559655198368847
donnée,2672,0.03559655198368847
prise,2667,0.03552994166934773
vendredi,2665,0.03550329754361144
croire,2661,0.03545000929213885
sarkozy,2658,0.03541004310353441
réaliser,2656,0.03538339897779812
personnel,2655,0.03537007691492997
traitement,2651,0.03531678866345738
majorité,2647,0.0352635004119848
dénoncer,2645,0.0352368562862485
gens,2644,0.03522353422338036
intérêt,2635,0.03510363565756703
particulier,2630,0.035037025343226294
façon,2627,0.034997059154621854
zone,2625,0.034970415028885565
origine,2610,0.03477058408586336
avril,2609,0.034757262022995214
estimer,2599,0.03462404139431374
abord,2596,0.0345840752057093
urgence,2592,0.03453078695423672
guerre,2591,0.03451746489136857
penser,2582,0.03439756632555525
vue,2574,0.03429098982261007
proposition,2574,0.03429098982261007
ajouter,2574,0.03429098982261007
institut,2572,0.034264345696873776
réponse,2567,0.03419773538253305
lycée,2561,0.03411780300532416
mission,2556,0.03405119269098343
sens,2548,0.033944616188038255
mot,2544,0.033891327936565664
épreuve,2542,0.03386468381082937
secteur,2542,0.03386468381082937
attentat,2541,0.033851361747961224
meilleur,2540,0.03383803968509308
soin,2536,0.03378475143362049
aide,2532,0.033731463182147904
territoire,2525,0.03363820874207087
accès,2517,0.0335316322391257
maison,2515,0.03350498811338941
engager,2506,0.03338508954757608
étranger,2499,0.03329183510749906
enfin,2494,0.03322522479315832
difficile,2483,0.033078682101608706
décider,2480,0.033038715913004266
priver,2478,0.03301207178726797
nature,2469,0.03289217322145465
développement,2462,0.03279891878137762
médical,2456,0.03271898640416874
extrême,2456,0.03271898640416874
objet,2449,0.032625731964091714
livre,2448,0.03261240990122356
prison,2439,0.03249251133541024
collectif,2431,0.03238593483246507
environ,2417,0.03219942595231101
économie,2405,0.03203956119789325
production,2401,0.03198627294642066
présent,2398,0.03194630675781622
pourquoi,2394,0.031893018506343636
journaliste,2393,0.031879696443475485
suite,2377,0.03166654343758513
fonction,2372,0.031599933123244404
n',2371,0.03158661106037625
union,2370,0.03157328899750811
relever,2364,0.03149335662029923
main,2357,0.0314001021802222
espace,2356,0.03138678011735405
février,2354,0.03136013599161776
juif,2354,0.03136013599161776
concours,2346,0.03125355948867258
métier,2346,0.03125355948867258
doute,2344,0.03122691536293629
ensuite,2341,0.03118694917433185
chacun,2337,0.03113366092285926
taux,2334,0.03109369473425482
presse,2323,0.030947152042705206
soutien,2320,0.030907185854100763
culture,2318,0.03088054172836447
épidémie,2307,0.030733999036814855
total,2306,0.030720676973946707
liste,2304,0.030694032848210415
auprès,2302,0.03066738872247412
produire,2293,0.0305474901566608
charger,2291,0.030520846030924503
grâce,2291,0.030520846030924503
rôle,2287,0.030467557779451915
fille,2283,0.03041426952797933
souligne,2279,0.030360981276506743
milieu,2276,0.0303210150879023
financier,2274,0.030294370962166008
élu,2269,0.030227760647825272
soutenir,2269,0.030227760647825272
emploi,2265,0.030174472396352684
tribune,2264,0.03016115033348454
réforme,2257,0.030067895893407512
propre,2254,0.03002792970480307
cancer,2252,0.030001285579066776
assure,2250,0.029974641453330484
poser,2247,0.02993467526472604
procédure,2237,0.029801454636044573
plein,2235,0.02977481051030828
scolaire,2231,0.029721522258835693
père,2221,0.02958830163015422
pen,2221,0.02958830163015422
lien,2215,0.02950836925294534
découvrir,2206,0.02938847068713202
époque,2206,0.02938847068713202
période,2200,0.029308538309923138
réalité,2200,0.029308538309923138
chiffre,2197,0.029268572121318698
environnement,2191,0.029188639744109818
apprendre,2189,0.029161995618373522
ingénieur,2186,0.029122029429769082
valeur,2186,0.029122029429769082
développer,2182,0.029068741178296494
tribunal,2179,0.029028774989692054
mère,2176,0.028988808801087614
vrai,2166,0.028855588172406143
acte,2164,0.02882894404666985
habitant,2163,0.028815621983801703
source,2158,0.02874901166946097
troisième,2156,0.028722367543724675
garde,2156,0.028722367543724675
retour,2156,0.028722367543724675
direction,2151,0.028655757229383943
réduire,2149,0.028629113103647647
républicain,2145,0.02857582485217506
apparaître,2145,0.02857582485217506
musulman,2141,0.02852253660070247
actuel,2140,0.028509214537834327
principe,2140,0.028509214537834327
difficulté,2133,0.028415960097757296
condamner,2132,0.02840263803488915
œuvre,2123,0.028282739469075828
tenter,2122,0.02826941740620768
modèle,2118,0.028216129154735096
voie,2117,0.028202807091866948
vaccin,2115,0.028176162966130652
physique,2112,0.028136196777526212
médicament,2099,0.027963009960240304
conférence,2093,0.02788307758303142
précise,2085,0.02777650108008625
semble,2082,0.027736534891481805
virus,2080,0.027709890765745513
entrée,2074,0.027629958388536633
âge,2073,0.027616636325668485
marine,2064,0.02749673775985516
corps,2061,0.02745677157125072
cœur,2061,0.02745677157125072
éviter,2061,0.02745677157125072
quoi,2060,0.027443449508382574
mme,2055,0.02737683919404184
vidéo,2053,0.027350195068305546
nécessaire,2047,0.027270262691096666
hausse,2047,0.027270262691096666
filière,2046,0.027256940628228518
discours,2039,0.02716368618815149
terrain,2039,0.02716368618815149
dispositif,2031,0.027057109685206315
reprendre,2030,0.02704378762233817
défense,2025,0.026977177307997435
changement,2025,0.026977177307997435
capacité,2023,0.02695053318226114
climatique,2022,0.026937211119392995
lr,2021,0.026923889056524847
accord,2015,0.026843956679315967
laboratoire,2014,0.02683063461644782
futur,2013,0.02681731255357967
expérience,2011,0.02679066842784338
industriel,2008,0.02675070223923894
juste,1997,0.026604159547689323
gaz,1997,0.026604159547689323
protéger,1991,0.02652422717048044
relation,1986,0.026457616856139708
enjeu,1980,0.026377684478930824
remettre,1978,0.026351040353194532
conduire,1977,0.026337718290326384
animal,1975,0.026311074164590092
technique,1974,0.026297752101721944
viser,1973,0.026284430038853796
zemmour,1971,0.026257785913117504
institution,1966,0.02619117559877677
dimanche,1966,0.02619117559877677
type,1964,0.026164531473040476
soir,1964,0.026164531473040476
socialiste,1961,0.026124565284436033
finir,1954,0.026031310844359005
citoyen,1950,0.025978022592886417
inscrire,1948,0.025951378467150125
nord,1945,0.025911412278545685
master,1942,0.025871446089941245
stratégie,1942,0.025871446089941245
continuer,1941,0.025858124027073097
parisien,1940,0.02584480196420495
quotidien,1939,0.0258314799013368
solution,1939,0.0258314799013368
assez,1933,0.02575154752412792
responsabilité,1931,0.02572490339839163
acteur,1929,0.025698259272655333
consommation,1928,0.025684937209787186
quelque,1924,0.025631648958314598
communauté,1921,0.025591682769710158
longtemps,1921,0.025591682769710158
commerce,1919,0.025565038643973866
primaire,1917,0.02553839451823757
régional,1917,0.02553839451823757
religieux,1913,0.025485106266764982
militant,1902,0.025338563575215366
nucléaire,1901,0.025325241512347222
placer,1900,0.025311919449479074
offrir,1896,0.025258631198006486
dizaine,1891,0.02519202088366575
protection,1889,0.02516537675792946
toucher,1887,0.025138732632193166
août,1885,0.02511208850645687
préciser,1884,0.025098766443588723
révéler,1881,0.025058800254984283
quant,1877,0.025005512003511695
affirmer,1876,0.02499218994064355
qualité,1870,0.024912257563434667
prochain,1867,0.024872291374830227
philippe,1860,0.0247790369347532
élément,1857,0.02473907074614876
critique,1850,0.02464581630607173
elle,1849,0.024632494243203584
génération,1847,0.024605850117467288
servir,1842,0.024539239803126556
augmenter,1839,0.024499273614522116
base,1838,0.024485951551653968
noir,1835,0.024445985363049528
presque,1832,0.024406019174445084
former,1830,0.024379375048708792
simple,1830,0.024379375048708792
spécialiste,1829,0.024366052985840644
terroriste,1826,0.024326086797236204
pandémie,1825,0.024312764734368057
bas,1818,0.02421951029429103
écologiste,1816,0.024192866168554737
conséquence,1814,0.02416622204281844
raconte,1809,0.02409961172847771
syndicat,1806,0.02405964553987327
journée,1804,0.024033001414136973
aider,1803,0.024019679351268825
réussir,1803,0.024019679351268825
voix,1802,0.02400635728840068
chercher,1793,0.023886458722587357
davantage,1792,0.02387313665971921
règle,1790,0.023846492533982917
participer,1786,0.02379320428251033
kilomètre,1783,0.02375323809390589
sentir,1779,0.0236999498424333
jouer,1779,0.0236999498424333
souhaiter,1775,0.023646661590960714
propos,1773,0.02362001746522442
date,1772,0.023606695402356274
pierre,1770,0.023580051276619978
